id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
1,초등학교,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,준비물,상상화|도화지|채색도구,0.85,Y,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,,Y
2,초등학교,1학기 중간 학업성취도 평가는 5월 둘째 주에 실시됩니다,일정,학업성취도|평가,0.75,N,5월 둘째 주에 학업성취도 평가가 있습니다,,N
3,초등학교,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,제출,정서행동검사|온라인,0.95,Y,정서행동 온라인 검사에 참여해 주세요,,Y
4,유치원,사진 촬영일에는 원복을 입고 등원해 주세요,준비물,사진촬영|원복,0.8,Y,사진 찍는 날 원복을 입혀 주세요,,Y
5,초등학교,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,기타,체험학습|불참,0.55,N,체험학습에 가지 않으면 학교 프로그램을 합니다,,N
6,유치원,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,일정,학부모상담|개별시간,0.8,Y,4월 둘째 주에 학부모 상담이 있습니다,,Y
7,초등학교,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,제출,생활기록부|증빙자료,0.9,Y,생활기록부를 고치려면 증빙자료를 내 주세요,,Y
8,초등학교,돌봄교실 간식비 30000원은 매월 초 납부합니다,비용,돌봄교실|간식비,0.8,Y,돌봄교실 간식비 30000원을 매월 초에 냅니다,,Y
9,초등학교,방과후학교 수강료 25000원은 다음 달 5일 자동이체됩니다,비용,방과후학교|수강료,0.8,N,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,Học phí lớp sau giờ học 25000 won sẽ được tự động trừ vào ngày 5 tháng sau,N
10,유치원,운동회 날에는 흰색 티셔츠와 편한 바지를 입혀 주세요,준비물,운동회|흰색티셔츠,0.9,Y,운동회 날 흰색 티셔츠와 편한 바지를 입혀 주세요,,Y
11,초등학교,전학 예정 학생은 담임교사에게 미리 알려 주세요,제출,전학|담임교사,0.85,Y,전학할 예정이면 담임선생님께 알려 주세요,,Y
