batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason
1,54,초등학교,일정,종업식 날에는 급식 없이 4교시 후 집에 갑니다,종업식 당일에는 급식 없이 4교시 후 하교합니다,,"category:일정|terms:종업식,급식|empty_vi"
2,58,초등학교,제출,보험 가입에 필요한 정보를 제출해 주세요,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,,category:제출|terms:제출|keywords:제출|empty_vi
3,64,유치원,비용,현장학습 참가비 14000원을 내 주세요,현장학습 참가비 14000원을 납부해 주세요,,category:비용|money|empty_vi
4,67,초등학교,건강·안전,6월 12일에 구강검진을 합니다,보건소 구강검진은 6월 12일 수요일에 진행됩니다,,"category:건강·안전|keywords:월,일|empty_vi"
5,68,초등학교,일정,4월 15일 음악실에서 합창부 오디션이 있습니다,합창부 오디션은 4월 15일 음악실에서 실시됩니다,,"category:일정|keywords:월,일|empty_vi"
6,80,유치원,일정,4월 19일에 어린이대공원으로 갑니다,봄 현장학습은 4월 19일 어린이대공원에서 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
7,84,유치원,제출,금요일까지 사진 사용 동의 여부를 내 주세요,원아 사진 사용 동의 여부를 금요일까지 제출해 주세요,,"category:제출|keywords:일,까지|empty_vi"
8,85,유치원,일정,11월 7일 오전에 인형극을 봅니다,원내 인형극 관람은 11월 7일 오전에 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
9,86,초등학교,일정,6월 18일에 온라인 학부모 연수가 있습니다,학부모 연수는 6월 18일 온라인으로 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
10,91,초등학교,제출,공개수업 참관은 학교 앱에서 신청합니다,학부모 공개수업 참관 신청은 학교 앱에서 가능합니다,,category:제출|terms:공개수업|keywords:신청|empty_vi
11,96,초등학교,일정,5월 30일 도서관에서 독서 골든벨이 있습니다,독서 골든벨은 5월 30일 도서관에서 열립니다,,"category:일정|keywords:월,일|empty_vi"
12,99,유치원,준비물,계절에 맞는 여벌옷과 속옷을 준비해 주세요,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,,category:준비물|terms:여벌옷|keywords:준비|empty_vi
13,101,초등학교,제출,전교임원 후보는 신청서를 내야 합니다,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,,category:제출|terms:신청서|keywords:신청|empty_vi
14,110,초등학교,준비물,세면도구 여벌옷 필기도구를 준비해 주세요,수학여행 준비물은 세면도구 여벌옷 필기도구입니다,,category:준비물|terms:여벌옷|keywords:준비|empty_vi
15,113,초등학교,일정,5월 10일 금요일에 봄 소풍을 갑니다,봄 소풍은 5월 10일 금요일에 학교 운동장에서 출발합니다,Chuyến dã ngoại mùa xuân diễn ra vào thứ Sáu ngày 10 tháng 5,"category:일정|terms:소풍|keywords:월,일"
16,115,초등학교,제출,금요일까지 사이버폭력 예방 서약서를 내 주세요,사이버폭력 예방 실천 서약서를 금요일까지 제출해 주세요,,"category:제출|keywords:일,까지|empty_vi"
17,116,초등학교,일정,4월 21일에 과학의 날 행사를 합니다,과학의 날 행사는 4월 21일 각 교실에서 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
18,117,초등학교,비용,단체 사진 구입비는 5000원입니다,학급 단체 사진 구입비는 5000원입니다,,category:비용|money|empty_vi
19,119,유치원,일정,2월 14일 오전 10시에 수료식이 있습니다,수료식은 2월 14일 금요일 오전 10시에 각 교실에서 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
20,123,유치원,일정,5월 11일 오전에 가족 참여 수업이 있습니다,가족 참여 수업은 5월 11일 토요일 오전에 진행됩니다,,"category:일정|keywords:월,일|empty_vi"
