batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason,human_vi,review_status
1,170,초등학교,제출,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,체험학습 보고서는 등교 후 7일 이내에 제출해야 출석으로 인정됩니다,Phải nộp báo cáo trải nghiệm trong 7 ngày để được công nhận đi học,"category:제출|terms:체험학습|keywords:일,체험학습",Phải nộp báo cáo học tập trải nghiệm trong vòng 7 ngày mới được tính là đi học.,reviewed
2,174,초등학교,건강·안전,다음 주 등교 시간에 교통안전 캠페인을 합니다,교통안전 캠페인이 다음 주 등교 시간에 실시됩니다,,"category:건강·안전|terms:등교,교통안전|empty_vi",Sẽ có chiến dịch an toàn giao thông vào giờ đến trường tuần sau.,reviewed
3,175,유치원,준비물,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,물놀이 준비물은 수영복 여벌옷 수건 비닐봉투입니다,Vui lòng chuẩn bị đồ bơi quần áo thay khăn và túi nilon,"category:준비물|terms:여벌옷,수건|keywords:준비","Vui lòng chuẩn bị đồ bơi, quần áo dự phòng, khăn tắm và túi nilon.",reviewed
4,180,초등학교,준비물,다음 주까지 풀 가위 색연필을 보내 주세요,학급 준비물로 풀 가위 색연필을 다음 주까지 보내 주세요,Vui lòng gửi hồ dán kéo và bút màu trước tuần sau,"category:준비물|terms:풀,가위|keywords:까지","Vui lòng gửi hồ dán, kéo và bút chì màu trước tuần sau.",reviewed
5,184,유치원,준비물,앞치마와 개인 마스크를 준비해 주세요,요리 활동을 위해 앞치마와 개인 마스크를 준비해 주세요,,category:준비물|terms:앞치마|keywords:준비|empty_vi,Vui lòng chuẩn bị tạp dề và khẩu trang cá nhân.,reviewed
6,186,유치원,기타,원복은 월요일과 행사일에 입습니다,원복 착용일은 매주 월요일과 행사일입니다,,"terms:원복|keywords:월,일,원복|empty_vi",Đồng phục trường được mặc vào thứ Hai và những ngày có sự kiện.,reviewed
7,190,초등학교,일정,6월 3일부터 6월 7일까지 생존수영을 합니다,생존수영 교육은 6월 3일부터 6월 7일까지 진행됩니다,Lớp bơi sinh tồn diễn ra từ ngày 3 đến ngày 7 tháng 6,"category:일정|keywords:월,일,까지",Sẽ học bơi sinh tồn từ ngày 3 tháng 6 đến ngày 7 tháng 6.,reviewed
8,198,유치원,비용,유아학비 지원 안내문을 보고 신청해 주세요,유아학비 지원 신청 안내문을 확인하고 기간 내 신청해 주세요,,category:비용|terms:안내문|keywords:신청|empty_vi,Vui lòng đọc thông báo hỗ trợ học phí mầm non và đăng ký.,reviewed
9,25,초등학교,제출,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,결석 시에는 오전 9시 전까지 학교 앱으로 결석 사유를 입력해 주세요,Nếu nghỉ học vui lòng nhập lý do trên ứng dụng trước 9 giờ sáng,category:제출|terms:결석|keywords:까지,"Nếu vắng mặt, vui lòng viết lý do trên ứng dụng trước 9 giờ sáng.",reviewed
10,34,초등학교,준비물,사물함 이름표 스티커를 준비해 주세요,교실 사물함 정리를 위해 이름표 스티커를 준비해 주세요,,category:준비물|keywords:준비|empty_vi,Vui lòng chuẩn bị nhãn dán tên cho tủ đồ.,reviewed
11,36,유치원,일정,발표회 날 오전 9시까지 와 주세요,발표회 당일 아이들은 오전 9시까지 등원해야 합니다,,category:일정|keywords:까지|empty_vi,Vui lòng đến trước 9 giờ sáng vào ngày biểu diễn.,reviewed
12,37,초등학교,준비물,깨끗한 개인 물병을 매일 보내 주세요,개인 물병을 매일 세척하여 보내 주세요,Vui lòng gửi bình nước cá nhân sạch mỗi ngày,category:준비물|terms:개인 물병|keywords:일,Vui lòng gửi bình nước cá nhân sạch sẽ mỗi ngày.,reviewed
13,50,유치원,제출,귀가 시간이 바뀌면 키즈노트로 알려 주세요,방과후 과정 귀가 시간 변경은 키즈노트로 미리 알려 주세요,,category:제출|terms:키즈노트|empty_vi,"Nếu thời gian về nhà thay đổi, vui lòng thông báo qua Kids Note.",reviewed
14,61,유치원,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,학부모 자원봉사 신청은 선착순으로 접수됩니다,,category:제출|keywords:신청|empty_vi,Tình nguyện viên phụ huynh sẽ được nhận theo thứ tự đăng ký trước.,reviewed
