id,source_type,category,easy_korean,human_vi,review_status
170,초등학교,제출,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,"Phải nộp báo cáo học tập trải nghiệm trong vòng 7 ngày mới được tính là đi học.",reviewed
174,초등학교,건강·안전,다음 주 등교 시간에 교통안전 캠페인을 합니다,"Sẽ có chiến dịch an toàn giao thông vào giờ đến trường tuần sau.",reviewed
175,유치원,준비물,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,"Vui lòng chuẩn bị đồ bơi, quần áo dự phòng, khăn tắm và túi nilon.",reviewed
180,초등학교,준비물,다음 주까지 풀 가위 색연필을 보내 주세요,"Vui lòng gửi hồ dán, kéo và bút chì màu trước tuần sau.",reviewed
184,유치원,준비물,앞치마와 개인 마스크를 준비해 주세요,"Vui lòng chuẩn bị tạp dề và khẩu trang cá nhân.",reviewed
186,유치원,기타,원복은 월요일과 행사일에 입습니다,"Đồng phục trường được mặc vào thứ Hai và những ngày có sự kiện.",reviewed
190,초등학교,일정,6월 3일부터 6월 7일까지 생존수영을 합니다,"Sẽ học bơi sinh tồn từ ngày 3 tháng 6 đến ngày 7 tháng 6.",reviewed
198,유치원,비용,유아학비 지원 안내문을 보고 신청해 주세요,"Vui lòng đọc thông báo hỗ trợ học phí mầm non và đăng ký.",reviewed
25,초등학교,제출,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,"Nếu vắng mặt, vui lòng viết lý do trên ứng dụng trước 9 giờ sáng.",reviewed
34,초등학교,준비물,사물함 이름표 스티커를 준비해 주세요,"Vui lòng chuẩn bị nhãn dán tên cho tủ đồ.",reviewed
36,유치원,일정,발표회 날 오전 9시까지 와 주세요,"Vui lòng đến trước 9 giờ sáng vào ngày biểu diễn.",reviewed
37,초등학교,준비물,깨끗한 개인 물병을 매일 보내 주세요,"Vui lòng gửi bình nước cá nhân sạch sẽ mỗi ngày.",reviewed
50,유치원,제출,귀가 시간이 바뀌면 키즈노트로 알려 주세요,"Nếu thời gian về nhà thay đổi, vui lòng thông báo qua Kids Note.",reviewed
61,유치원,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,"Tình nguyện viên phụ huynh sẽ được nhận theo thứ tự đăng ký trước.",reviewed
69,초등학교,건강·안전,태풍 때 등교 시간 변경은 앱으로 알려 줍니다,"Việc thay đổi giờ đến trường khi có bão sẽ được thông báo qua ứng dụng.",reviewed
70,초등학교,준비물,학예회 때 흰색 윗옷과 검정색 바지를 준비해 주세요,"Vui lòng chuẩn bị áo trắng và quần đen cho buổi văn nghệ.",reviewed
78,유치원,제출,알레르기 여부를 설문으로 알려 주세요,"Vui lòng thông báo tình trạng dị ứng qua bảng khảo sát.",reviewed
87,초등학교,비용,교육급여는 주민센터나 복지로에서 신청합니다,"Trợ cấp giáo dục được đăng ký tại trung tâm cộng đồng hoặc Bokjiro.",reviewed
90,초등학교,건강·안전,감염병에 걸리면 학교에 오지 말고 연락해 주세요,"Nếu mắc bệnh truyền nhiễm, vui lòng không đến trường và liên hệ với chúng tôi.",reviewed
98,유치원,준비물,숲놀이 날 긴팔 옷과 모자를 준비해 주세요,"Vui lòng chuẩn bị quần áo dài tay và mũ vào ngày chơi trong rừng.",reviewed
104,초등학교,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,"Giáo dục phòng chống mất tích và bắt cóc sẽ được tổ chức vào tuần đầu tiên của tháng 6.",reviewed
106,유치원,건강·안전,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,"Nếu có triệu chứng cảm lạnh, vui lòng liên hệ với giáo viên trước khi đến trường.",reviewed
111,초등학교,건강·안전,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,"Vui lòng không cho ăn vặt sau 9 giờ tối ngày hôm trước khi khám sức khỏe.",reviewed
130,초등학교,건강·안전,아동학대 예방 안내문을 확인해 주세요,"Vui lòng kiểm tra thông báo phòng chống bạo hành trẻ em.",reviewed
131,초등학교,건강·안전,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,"Nếu cần điều trị tại bệnh viện sau khi kiểm tra thị lực, vui lòng kiểm tra thông báo.",reviewed
134,초등학교,제출,오전 9시 30분까지 원격수업 출석을 확인해 주세요,"Vui lòng xác nhận điểm danh lớp học từ xa trước 9:30 sáng.",reviewed
136,유치원,제출,참석 인원을 키즈노트로 알려 주세요,"Vui lòng thông báo số lượng người tham dự qua Kids Note.",reviewed
152,유치원,일정,7월 5일에 유치원에서 물놀이를 합니다,"Sẽ có hoạt động vui chơi dưới nước tại trường mẫu giáo vào ngày 5 tháng 7.",reviewed
154,유치원,건강·안전,동물 체험 전 손 씻기와 알레르기를 확인해 주세요,"Vui lòng rửa tay và kiểm tra dị ứng trước khi trải nghiệm động vật.",reviewed
166,유치원,제출,졸업여행 희망 조사를 키즈노트로 내 주세요,"Vui lòng nộp khảo sát nguyện vọng đi chuyến đi tốt nghiệp qua Kids Note.",reviewed
