id,source_type,category,easy_korean,human_vi,review_status
135,초등학교,제출,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,Vui lòng nộp đơn xin học tập trải nghiệm trước thứ Hai tuần sau.,reviewed
26,유치원,비용,간식비 15000원이 매월 10일에 빠져나갑니다,15.000 won tiền ăn nhẹ sẽ được rút vào ngày 10 hàng tháng.,reviewed
83,초등학교,제출,6월 20일까지 영어 캠프 신청서를 내 주세요,Vui lòng nộp đơn đăng ký trại hè tiếng Anh trước ngày 20 tháng 6.,reviewed
112,초등학교,제출,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,Vui lòng nộp bản khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4.,reviewed
125,유치원,제출,월요일까지 현장학습 동의서를 내 주세요,Vui lòng nộp giấy đồng ý đi thực tế trước thứ Hai.,reviewed
142,유치원,제출,3월 15일까지 특성화 활동 신청서를 내 주세요,Vui lòng nộp đơn đăng ký hoạt động đặc biệt trước ngày 15 tháng 3.,reviewed
178,유치원,제출,간식 신청 변경은 매월 말일까지 할 수 있습니다,Việc thay đổi đăng ký ăn nhẹ có thể được thực hiện trước ngày cuối cùng của mỗi tháng.,reviewed
182,초등학교,제출,4월 5일까지 우유 급식을 신청할 수 있습니다,Bạn có thể đăng ký cấp phát sữa trước ngày 5 tháng 4.,reviewed
43,초등학교,제출,이번 주 안에 응급처치 동의서를 내 주세요,Vui lòng nộp giấy đồng ý sơ cứu trong tuần này.,reviewed
44,초등학교,제출,내일까지 학생 기초조사서를 내 주세요,Vui lòng nộp bản khảo sát cơ bản của học sinh trước ngày mai.,reviewed
88,초등학교,제출,다음 주 화요일까지 졸업앨범 신청서를 내 주세요,Vui lòng nộp đơn đăng ký kỷ yếu tốt nghiệp trước thứ Ba tuần sau.,reviewed
92,초등학교,일정,이번 주 목요일까지 학부모 상담을 신청할 수 있습니다,Bạn có thể đăng ký tư vấn phụ huynh trước thứ Năm tuần này.,reviewed
95,초등학교,제출,5월 3일 오후 5시까지 방과후학교를 신청해 주세요,Vui lòng đăng ký lớp học ngoại khóa trước 5 giờ chiều ngày 3 tháng 5.,reviewed
97,초등학교,일정,방학 돌봄교실은 오전 9시부터 오후 5시까지 합니다,Lớp trông giữ trẻ trong kỳ nghỉ hoạt động từ 9 giờ sáng đến 5 giờ chiều.,reviewed
120,초등학교,비용,우유 급식비는 한 달 18000원입니다,Tiền sữa học đường là 18.000 won một tháng.,reviewed
128,유치원,제출,금요일까지 유아 기초조사서를 내 주세요,Vui lòng nộp bản khảo sát cơ bản của trẻ em trước thứ Sáu.,reviewed
129,초등학교,준비물,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,"Vui lòng chuẩn bị hộp cơm trưa, nước và khăn giấy ướt vào ngày đi học tập trải nghiệm.",reviewed
163,초등학교,제출,3월 18일까지 학부모 총회 참석 여부를 알려 주세요,Vui lòng thông báo cho chúng tôi bạn có tham dự đại hội phụ huynh hay không trước ngày 18 tháng 3.,reviewed
165,초등학교,제출,4월 30일까지 개인정보 동의서를 내 주세요,Vui lòng nộp giấy đồng ý cung cấp thông tin cá nhân trước ngày 30 tháng 4.,reviewed
167,초등학교,준비물,개학일에 방학 과제와 실내화를 가져오세요,Vui lòng mang theo bài tập kỳ nghỉ và dép đi trong nhà vào ngày khai giảng.,reviewed
169,초등학교,준비물,금요일까지 색종이와 풀을 보내 주세요,Vui lòng gửi giấy màu và hồ dán trước thứ Sáu.,reviewed
176,유치원,제출,수요일까지 동물 체험 동의서를 내 주세요,Vui lòng nộp giấy đồng ý trải nghiệm động vật trước thứ Tư.,reviewed
195,초등학교,제출,독감 예방접종 여부를 건강조사서에 써 주세요,Vui lòng ghi rõ tình trạng tiêm phòng cúm vào bản khảo sát sức khỏe.,reviewed
31,초등학교,준비물,운동회 날 점심 도시락을 준비해 주세요,Vui lòng chuẩn bị hộp cơm trưa vào ngày hội thao.,reviewed
33,초등학교,제출,스쿨뱅킹 계좌를 바꾸려면 신청서를 내 주세요,"Nếu muốn thay đổi tài khoản ngân hàng trường học, vui lòng nộp đơn đăng ký.",reviewed
45,유치원,제출,겨울방학 방과후 과정 신청 여부를 알려 주세요,Vui lòng cho biết bạn có đăng ký khóa học ngoại khóa kỳ nghỉ đông hay không.,reviewed
48,초등학교,제출,급식 모니터링을 원하면 신청서를 내 주세요,"Nếu bạn muốn tham gia giám sát bữa ăn, vui lòng nộp đơn đăng ký.",reviewed
53,초등학교,제출,이번 주 수요일까지 스포츠클럽을 신청해 주세요,Vui lòng đăng ký câu lạc bộ thể thao trước thứ Tư tuần này.,reviewed
55,유치원,일정,9월 27일 유치원 강당에서 운동회를 합니다,Hội thao sẽ được tổ chức tại hội trường trường mẫu giáo vào ngày 27 tháng 9.,reviewed
56,초등학교,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,Vui lòng đến trường trước 8:40 sáng vào ngày đi học tập trải nghiệm.,reviewed
